,wavelength,intensity
720,272.0,32469.477
721,272.1,34864.316
722,272.2,37470.0
723,272.3,40300.643
724,272.4,43364.886
725,272.5,46670.0
726,272.6,50221.283
727,272.7,54016.139
728,272.8,58050.0
729,272.9,62314.966
730,273.0,66789.817
731,273.1,71450.0
732,273.2,76268.852
733,273.3,81211.26
734,273.4,86240.0
735,273.5,91313.571
736,273.6,96373.356
737,273.7,101356.464
738,273.8,106200.0
739,273.9,110842.396
740,274.0,115227.378
741,274.1,119300.0
742,274.2,123005.527
743,274.3,126290.081
744,274.4,129100.0
745,274.5,131383.645
746,274.6,133097.482
747,274.7,134200.0
748,274.8,134659.892
749,274.9,134486.658
750,275.0,133700.0
751,275.1,132317.528
752,275.2,130348.48
753,275.3,127800.0
754,275.4,124688.514
755,275.5,121067.571
756,275.6,117000.0
757,275.7,112546.934
758,275.8,107762.718
759,275.9,102700.0
760,276.0,97414.86
761,276.1,91977.111
762,276.2,86460.0
763,276.3,80932.04
764,276.4,75442.818
765,276.5,70037.186
766,276.6,64760.0
767,276.7,59653.607
768,276.8,54750.334
769,276.9,50080.0
770,277.0,45668.913
771,277.1,41529.332
772,277.2,37670.0
773,277.3,34097.405
774,277.4,30809.006
775,277.5,27800.0
776,277.6,25064.057
777,277.7,22588.72
778,277.8,20360.0
779,277.9,18363.032
780,278.0,16579.448
781,278.1,14990.0
782,278.2,13576.036
783,278.3,12321.267
784,278.4,11210.0
785,278.5,10226.741
786,278.6,9356.807
787,278.7,8585.72
788,278.8,7899.0
789,278.9,7283.306
790,279.0,6729.854
791,279.1,6231.0
792,279.2,5779.485
793,279.3,5369.595
794,279.4,4996.0
795,279.5,4653.864
796,279.6,4340.322
797,279.7,4053.0
798,279.8,3789.798
799,279.9,3549.709
800,280.0,3332.0
801,280.1,3135.981
802,280.2,2961.138
803,280.3,2807.0
804,280.4,2673.241
805,280.5,2560.109
806,280.6,2468.0
807,280.7,2397.205
808,280.8,2347.61
809,280.9,2319.0
810,281.0,2311.2
811,281.1,2324.193
812,281.2,2358.0
813,281.3,2412.569
814,281.4,2487.544
815,281.5,2582.498
816,281.6,2697.0
817,281.7,2830.491
818,281.8,2981.894
819,281.9,3150.0
820,282.0,3333.547
821,282.1,3531.058
822,282.2,3741.0
823,282.3,3961.727
824,282.4,4191.133
825,282.5,4427.0
826,282.6,4667.027
827,282.7,4908.594
828,282.8,5149.0
829,282.9,5385.61
830,283.0,5616.047
831,283.1,5838.0
832,283.2,6049.162
833,283.3,6247.254
834,283.4,6430.0
835,283.5,6595.344
836,283.6,6742.103
837,283.7,6869.31
838,283.8,6976.0
839,283.9,7061.418
840,284.0,7125.651
841,284.1,7169.0
842,284.2,7191.884
843,284.3,7195.209
844,284.4,7180.0
845,284.5,7147.378
846,284.6,7098.845
847,284.7,7036.0
848,284.8,6960.456
849,284.9,6873.891
850,285.0,6778.0
851,285.1,6674.429
852,285.2,6564.628
853,285.3,6450.0
854,285.4,6331.865
855,285.5,6211.225
856,285.6,6089.0
857,285.7,5966.036
858,285.8,5842.879
859,285.9,5720.0
860,286.0,5597.805
861,286.1,5476.443
862,286.2,5356.0
863,286.3,5236.496
864,286.4,5117.696
865,286.5,4999.297
866,286.6,4881.0
867,286.7,4762.551
868,286.8,4643.89
869,286.9,4525.0
870,287.0,4405.838
871,287.1,4286.237
872,287.2,4166.0
873,287.3,4044.985
874,287.4,3923.273
875,287.5,3801.0
876,287.6,3678.334
877,287.7,3555.561
878,287.8,3433.0
879,287.9,3310.939
880,288.0,3189.556
881,288.1,3069.0
882,288.2,2949.502
883,288.3,2831.621
884,288.4,2716.0
885,288.5,2603.202
886,288.6,2493.484
887,288.7,2387.024
888,288.8,2284.0
889,288.9,2184.615
890,289.0,2089.173
891,289.1,1998.0
892,289.2,1911.41
893,289.3,1829.662
894,289.4,1753.0
895,289.5,1681.67
896,289.6,1615.92
897,289.7,1556.0
898,289.8,1502.132
899,289.9,1454.435
900,290.0,1413.0
901,290.1,1377.95
902,290.2,1349.526
903,290.3,1328.0
904,290.4,1313.623
905,290.5,1306.571
906,290.6,1307.0
907,290.7,1315.002
908,290.8,1330.412
909,290.9,1353.0
910,291.0,1382.553
911,291.1,1418.928
912,291.2,1462.0
913,291.3,1511.584
914,291.4,1567.262
915,291.5,1628.56
916,291.6,1695.0
917,291.7,1766.092
918,291.8,1841.282
919,291.9,1920.0
920,292.0,2001.691
921,292.1,2085.853
922,292.2,2172.0
923,292.3,2259.664
924,292.4,2348.454
925,292.5,2438.0
926,292.6,2527.951
927,292.7,2618.036
928,292.8,2708.0
929,292.9,2797.642
930,293.0,2886.959
931,293.1,2976.0
932,293.2,3064.778
933,293.3,3153.166
934,293.4,3241.0
935,293.5,3328.11
936,293.6,3414.29
937,293.7,3499.325
938,293.8,3583.0
939,293.9,3665.074
940,294.0,3745.199
941,294.1,3823.0
942,294.2,3898.114
943,294.3,3970.218
944,294.4,4039.0
945,294.5,4104.174
946,294.6,4165.559
947,294.7,4223.0
948,294.8,4276.412
949,294.9,4325.99
950,295.0,4372.0
951,295.1,4414.772
952,295.2,4454.889
953,295.3,4493.0
954,295.4,4529.797
955,295.5,4566.157
956,295.6,4603.0
957,295.7,4641.298
958,295.8,4682.223
959,295.9,4727.0
960,296.0,4776.79
961,296.1,4832.506
962,296.2,4895.0
963,296.3,4965.032
964,296.4,5043.003
965,296.5,5129.222
966,296.6,5224.0
967,296.7,5327.506
968,296.8,5439.35
969,296.9,5559.0
970,297.0,5685.796
971,297.1,5818.564
972,297.2,5956.0
973,297.3,6096.717
974,297.4,6238.987
975,297.5,6381.0
976,297.6,6520.93
977,297.7,6656.895
978,297.8,6787.0
979,297.9,6909.379
980,298.0,7022.285
981,298.1,7124.0
982,298.2,7212.924
983,298.3,7287.928
984,298.4,7348.0
985,298.5,7392.305
986,298.6,7420.711
987,298.7,7433.262
988,298.8,7430.0
989,298.9,7411.126
990,299.0,7377.466
991,299.1,7330.0
992,299.2,7269.837
993,299.3,7198.591
994,299.4,7118.0
995,299.5,7029.784
996,299.6,6935.579
997,299.7,6837.0
998,299.8,6735.655
999,299.9,6633.129
1000,300.0,6531.0
1001,300.1,6430.744
1002,300.2,6333.425
1003,300.3,6240.0
1004,300.4,6151.33
1005,300.5,6067.877
1006,300.6,5990.0
1007,300.7,5917.934
1008,300.8,5851.402
1009,300.9,5790.0
1010,301.0,5733.231
1011,301.1,5680.22
1012,301.2,5630.0
1013,301.3,5581.576
1014,301.4,5533.851
1015,301.5,5485.7
1016,301.6,5436.0
1017,301.7,5383.651
1018,301.8,5327.645
1019,301.9,5267.0
1020,302.0,5200.828
1021,302.1,5128.629
1022,302.2,5050.0
1023,302.3,4964.594
1024,302.4,4872.284
1025,302.5,4773.0
1026,302.6,4666.834
1027,302.7,4554.531
1028,302.8,4437.0
1029,302.9,4315.144
1030,303.0,4189.85
1031,303.1,4062.0
1032,303.2,3932.554
1033,303.3,3802.774
1034,303.4,3674.0
1035,303.5,3547.497
1036,303.6,3424.233
1037,303.7,3305.102
1038,303.8,3191.0
1039,303.9,3082.753
1040,304.0,2980.922
1041,304.1,2886.0
1042,304.2,2798.383
1043,304.3,2718.08
1044,304.4,2645.0
1045,304.5,2579.01
1046,304.6,2519.796
1047,304.7,2467.0
1048,304.8,2420.208
1049,304.9,2378.775
1050,305.0,2342.0
1051,305.1,2309.196
1052,305.2,2279.734
1053,305.3,2253.0
1054,305.4,2228.379
1055,305.5,2205.253
1056,305.6,2183.0
1057,305.7,2161.028
1058,305.8,2138.848
1059,305.9,2116.0
1060,306.0,2092.066
1061,306.1,2066.8
1062,306.2,2040.0
1063,306.3,2011.503
1064,306.4,1981.309
1065,306.5,1949.461
1066,306.6,1916.0
1067,306.7,1880.991
1068,306.8,1844.596
1069,306.9,1807.0
1070,307.0,1768.393
1071,307.1,1728.988
1072,307.2,1689.0
1073,307.3,1648.658
1074,307.4,1608.231
1075,307.5,1568.0
1076,307.6,1528.236
1077,307.7,1489.164
1078,307.8,1451.0
1079,307.9,1413.955
1080,308.0,1378.225
1081,308.1,1344.0
1082,308.2,1311.461
1083,308.3,1280.75
1084,308.4,1252.0
1085,308.5,1225.323
1086,308.6,1200.753
1087,308.7,1178.307
1088,308.8,1158.0
1089,308.9,1139.844
1090,309.0,1123.844
1091,309.1,1110.0
1092,309.2,1098.299
1093,309.3,1088.663
1094,309.4,1081.0
1095,309.5,1075.22
1096,309.6,1071.245
1097,309.7,1069.0
1098,309.8,1068.413
1099,309.9,1069.429
1100,310.0,1072.0
1101,310.1,1076.055
1102,310.2,1081.445
1103,310.3,1088.0
1104,310.4,1095.59
1105,310.5,1104.236
1106,310.6,1114.0
1107,310.7,1124.883
1108,310.8,1136.649
1109,310.9,1149.0
1110,311.0,1161.693
1111,311.1,1174.688
1112,311.2,1188.0
1113,311.3,1201.599
1114,311.4,1215.291
1115,311.5,1228.837
1116,311.6,1242.0
1117,311.7,1254.55
1118,311.8,1266.282
1119,311.9,1277.0
1120,312.0,1286.54
1121,312.1,1294.873
1122,312.2,1302.0
1123,312.3,1307.882
1124,312.4,1312.302
1125,312.5,1315.0
1126,312.6,1315.785
1127,312.7,1314.736
1128,312.8,1312.0
1129,312.9,1307.719
1130,313.0,1302.014
1131,313.1,1295.0
1132,313.2,1286.783
1133,313.3,1277.43
1134,313.4,1267.0
1135,313.5,1255.602
1136,313.6,1243.555
1137,313.7,1231.231
1138,313.8,1219.0
1139,313.9,1207.175
1140,314.0,1195.835
1141,314.1,1185.0
1142,314.2,1174.736
1143,314.3,1165.302
1144,314.4,1157.0
1145,314.5,1150.064
1146,314.6,1144.44
1147,314.7,1140.0
1148,314.8,1136.674
1149,314.9,1134.607
1150,315.0,1134.0
1151,315.1,1134.982
1152,315.2,1137.392
1153,315.3,1141.0
1154,315.4,1145.585
1155,315.5,1150.973
1156,315.6,1157.0
1157,315.7,1163.529
1158,315.8,1170.53
1159,315.9,1178.0
1160,316.0,1185.892
1161,316.1,1193.982
1162,316.2,1202.0
1163,316.3,1209.71
1164,316.4,1217.0
1165,316.5,1223.79
1166,316.6,1230.0
1167,316.7,1235.574
1168,316.8,1240.553
1169,316.9,1245.0
1170,317.0,1248.951
1171,317.1,1252.322
1172,317.2,1255.0
1173,317.3,1256.918
1174,317.4,1258.196
1175,317.5,1259.0
1176,317.6,1259.488
1177,317.7,1259.783
1178,317.8,1260.0
